links,names
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9989,Mahesh (Dada) Kisan Landge
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8175,Sanjay Waman Sawkare
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10077,Rajesh Raghunath Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8730,Sunil Rane
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8411,Vijay Namdeorao Wadettiwar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9400,Sanjay Rambhau Gaikwad
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9929,Yamini Yashwant Jadhav
https://myneta.info/maharashtra2019/candidate.php?candidate_id=11008,Mangesh Ramesh Chavan
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10152,Rajesh Narasingrao Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9842,Dilip Bhausaheb Lande
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9760,Dr. Aher Rahul Daulatrao
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8794,Yogesh Amrutlal Sagar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8648,Prakash Vaikunth Phaterpekar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9404,Shweta Vidyadhar Mahale
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9537,Bunty Bhangdiya
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9977,Jagtap Laxman Pandurang
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7604,Shekhar Govindrao Nikam
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8974,Latabai Chandrakant Sonawane
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9948,Rahul Suresh Narwekar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7681,Vinod Bhiva Nikole
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8219,Kadam Yogeshdada Ramdas
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9035,Balwant Baswant Wankhade
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9047,Rahul Subhashrao Kul
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9600,Antapurkar Raosaheb Jayvanta
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9803,Saroj Babulal Ahire
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9297,Ranjit Prataprao Kamble
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8742,Chaudhary Manisha Ashok
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9425,Adsad Pratap Arunbhau
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7935,Gaikwad Varsha Eknath
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9343,Shah Faruk Anwar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9317,Kunalbaba Rohidas Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9558,Rathod Sanjay Dulichand
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9782,Zirwal Narhari Sitaram
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8787,Sunil Prabhu
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8678,Ravindra Dattatray Chavan
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8659,Chimanrao Rupchand Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8382,Deorao Madguji Holi
https://myneta.info/maharashtra2019/candidate.php?candidate_id=11025,Ratnakar Manikrao Gutte
https://myneta.info/maharashtra2019/candidate.php?candidate_id=11065,Bamb Prashant Bansilal
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9665,Rajeshbhaiyya Tope
https://myneta.info/maharashtra2019/candidate.php?candidate_id=11054,Laxman Madhavrao Pawar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8834,Ram Kadam
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8850,Parag Shah
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9524,Agrawal Vinod Santoshkumar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8811,Vidya Jaiprakash Thakur
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8216,Bhaskar Bhaurao Jadhav
https://myneta.info/maharashtra2019/candidate.php?candidate_id=11038,Chetan Vitthal Tupe
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9576,Jawalgaonkar Madhavrao Nivruttirao Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10125,Raju Jaywantrao Awale
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8328,Samir Trimbakrao Kunawar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9466,Meghe Sameer Dattatraya
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9630,Tanhaji Sakharamji Mutkule
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7596,Prakashanna Awade
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8718,Hiraman Bhika Khoskar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9211,Dattatray Vithoba Bharane
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7557,Jayant Rajaram Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8312,Kute Sanjay Shriram
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8183,Suresh Damu Bhole
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8192,Gulabrao Raghunath Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7888,Kailas Kisanrao Gorantyal
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8308,Girish Dattatraya Mahajan
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9718,Vikramsinh Balasaheb Sawant
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10537,Meghana Deepak Sakore Bordikar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8774,Ravindra Dattaram Waikar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7896,Atul Vallabh Benke
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9890,Mushrif Hasan Miyalal
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10028,Namita Akshay Mundada
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9624,Bangar Santosh Laxmanrao
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7905,Nitin Arjun Pawar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8695,Vishwanath Atmaram Bhoir
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8427,Ganpat Kalu Gaikwad
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8899,Pramod Ratan Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9490,Sawarkar Tekchand Shrawan
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8793,Atul Bhatkhalkar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10178,Nitesh Narayan Rane
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7907,Udaysing Sardarsing Rajput
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7603,Balasaheb Alias Shamrao Pandurang Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8239,Prithviraj Chavan
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10691,Patni Rajendra Sukhanand
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9952,Mahendra Sadashiv Thorve
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10700,Rohit Pawar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10725,Sanjaymama Vitthalrao Shinde
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7728,Pandurang Nivrutti Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10005,Mukta Shailesh Tilak
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9458,Anil Deshmukh
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7920,Bhimrao Dhondiba Tapkir
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8943,Akash Pandurang Fundkar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8431,Anilrao Kaljerao Babar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7732,Dilip Dattatray Mohite
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10824,Bhimrao Ramjee Keram
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10139,Chandrakant Pandit Jadhav
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7913,Ruturaj Sanjay Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10862,Ashutosh Ashokrao Kale
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8879,Eknath Sambhaji Shinde
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8241,Mahesh Sambhajiraje Shinde
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7909,Chandrakant Bachhu Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7906,Vaibhav Vijay Naik
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8842,Mangesh Anant Kudalkar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8263,Amit Vilasrao Deshmukh
https://myneta.info/maharashtra2019/candidate.php?candidate_id=11092,Dhiraj Vilasrao Deshmukh
